Nome da Empresa,CONSULTAS,VIDAS ATIVAS,SINISTRALIDADE,PERIODO,MES,ANO,SETOR
EMPRESA 1,1,15,"6,67%",01/05/24,MAIO,2024,PUBLICO
EMPRESA 1,6,28,"21,43%",01/04/24,ABRIL,2024,PUBLICO
EMPRESA 1,8,26,"30,77%",01/03/24,MARÇO,2024,PUBLICO
EMPRESA 1,4,22,"18,18%",01/02/24,FEVEREIRO,2024,PUBLICO
EMPRESA 1,5,19,"26,32%",01/01/24,JANEIRO,2024,PUBLICO
EMPRESA 1,2,21,"9,52%",01/12/23,DEZEMBRO,2023,PUBLICO
EMPRESA 1,4,17,"23,53%",01/11/23,NOVEMBRO,2023,PUBLICO
EMPRESA 1,3,17,"17,65%",01/10/23,OUTUBRO,2023,PUBLICO
EMPRESA 1,10,17,"58,82%",01/09/23,SETEMBRO,2023,PUBLICO
EMPRESA 1,5,14,"35,71%",01/08/23,AGOSTO,2023,PUBLICO
EMPRESA 2,10,16,"62,50%",01/05/24,MAIO,2024,PUBLICO
EMPRESA 2,11,14,"78,57%",01/04/24,ABRIL,2024,PUBLICO
EMPRESA 2,10,14,"71,43%",01/03/24,MARÇO,2024,PUBLICO
EMPRESA 2,3,11,"27,27%",01/02/24,FEVEREIRO,2024,PUBLICO
EMPRESA 2,12,7,"171,43%",01/01/24,JANEIRO,2024,PUBLICO
EMPRESA 2,7,8,"87,50%",01/12/23,DEZEMBRO,2023,PUBLICO
EMPRESA 2,3,7,"42,86%",01/11/23,NOVEMBRO,2023,PUBLICO
EMPRESA 2,6,5,"120,00%",01/10/23,OUTUBRO,2023,PUBLICO
EMPRESA 2,0,0,"0,00%",01/09/23,SETEMBRO,2023,PUBLICO
EMPRESA 2,0,0,"0,00%",01/08/23,AGOSTO,2023,PUBLICO
EMPRESA 3,1,5,"20,00%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 3,2,7,"28,57%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 3,1,7,"14,29%",01/03/24,MARÇO,2024,PRIVADO
EMPRESA 3,2,8,"25,00%",01/02/24,FEVEREIRO,2024,PRIVADO
EMPRESA 3,7,5,"140,00%",01/01/24,JANEIRO,2024,PRIVADO
EMPRESA 3,7,9,"77,78%",01/12/23,DEZEMBRO,2023,PRIVADO
EMPRESA 3,6,7,"85,71%",01/11/23,NOVEMBRO,2023,PRIVADO
EMPRESA 3,0,0,"0,00%",01/10/23,OUTUBRO,2023,PRIVADO
EMPRESA 3,0,0,"0,00%",01/09/23,SETEMBRO,2023,PRIVADO
EMPRESA 3,0,0,"0,00%",01/08/23,AGOSTO,2023,PRIVADO
EMPRESA 4,0,2,"0,00%",01/05/24,MAIO,2024,PUBLICO
EMPRESA 4,0,2,"0,00%",01/04/24,ABRIL,2024,PUBLICO
EMPRESA 4,0,2,"0,00%",01/03/24,MARÇO,2024,PUBLICO
EMPRESA 4,0,5,"0,00%",01/02/24,FEVEREIRO,2024,PUBLICO
EMPRESA 4,0,4,"0,00%",01/01/24,JANEIRO,2024,PUBLICO
EMPRESA 4,0,4,"0,00%",01/12/23,DEZEMBRO,2023,PUBLICO
EMPRESA 4,0,4,"0,00%",01/11/23,NOVEMBRO,2023,PUBLICO
EMPRESA 4,0,2,"0,00%",01/10/23,OUTUBRO,2023,PUBLICO
EMPRESA 4,0,0,"0,00%",01/09/23,SETEMBRO,2023,PUBLICO
EMPRESA 4,0,0,"0,00%",01/08/23,AGOSTO,2023,PUBLICO
EMPRESA 5,0,32,"0,00%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 5,0,32,"0,00%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 5,2,29,"6,90%",01/03/24,MARÇO,2024,PRIVADO
EMPRESA 5,0,31,"0,00%",01/02/24,FEVEREIRO,2024,PRIVADO
EMPRESA 5,0,40,"0,00%",01/01/24,JANEIRO,2024,PRIVADO
EMPRESA 5,0,23,"0,00%",01/12/23,DEZEMBRO,2023,PRIVADO
EMPRESA 5,0,23,"0,00%",01/11/23,NOVEMBRO,2023,PRIVADO
EMPRESA 5,1,20,"5,00%",01/10/23,OUTUBRO,2023,PRIVADO
EMPRESA 5,0,0,"0,00%",01/09/23,SETEMBRO,2023,PRIVADO
EMPRESA 5,0,0,"0,00%",01/08/23,AGOSTO,2023,PRIVADO
EMPRESA 6,124,219,"56,62%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 6,136,217,"62,67%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 6,120,221,"54,30%",01/03/24,MARÇO,2024,PRIVADO
EMPRESA 6,159,226,"70,35%",01/02/24,FEVEREIRO,2024,PRIVADO
EMPRESA 6,151,226,"66,81%",01/01/24,JANEIRO,2024,PRIVADO
EMPRESA 6,114,226,"50,44%",01/12/23,DEZEMBRO,2023,PRIVADO
EMPRESA 6,149,223,"66,82%",01/11/23,NOVEMBRO,2023,PRIVADO
EMPRESA 6,209,256,"81,64%",01/10/23,OUTUBRO,2023,PRIVADO
EMPRESA 6,196,298,"65,77%",01/09/23,SETEMBRO,2023,PRIVADO
EMPRESA 6,189,317,"59,62%",01/08/23,AGOSTO,2023,PRIVADO
EMPRESA 7,183,285,"64,21%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 7,182,288,"63,19%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 7,200,318,"62,89%",01/03/24,MARÇO,2024,PRIVADO
EMPRESA 7,207,331,"62,54%",01/02/24,FEVEREIRO,2024,PRIVADO
EMPRESA 7,253,353,"71,67%",01/01/24,JANEIRO,2024,PRIVADO
EMPRESA 7,298,382,"78,01%",01/12/23,DEZEMBRO,2023,PRIVADO
EMPRESA 7,411,407,"100,98%",01/11/23,NOVEMBRO,2023,PRIVADO
EMPRESA 7,697,504,"138,29%",01/10/23,OUTUBRO,2023,PRIVADO
EMPRESA 7,1080,580,"186,21%",01/09/23,SETEMBRO,2023,PRIVADO
EMPRESA 7,1294,746,"173,46%",01/08/23,AGOSTO,2023,PRIVADO
EMPRESA 8,0,9,"0,00%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 8,0,9,"0,00%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 8,0,9,"0,00%",01/03/24,MARÇO,2024,PRIVADO
EMPRESA 8,0,9,"0,00%",01/02/24,FEVEREIRO,2024,PRIVADO
EMPRESA 8,0,9,"0,00%",01/01/24,JANEIRO,2024,PRIVADO
EMPRESA 8,0,9,"0,00%",01/12/23,DEZEMBRO,2023,PRIVADO
EMPRESA 8,0,9,"0,00%",01/11/23,NOVEMBRO,2023,PRIVADO
EMPRESA 8,2,8,"25,00%",01/10/23,OUTUBRO,2023,PRIVADO
EMPRESA 8,9,8,"112,50%",01/09/23,SETEMBRO,2023,PRIVADO
EMPRESA 8,0,0,"0,00%",01/08/23,AGOSTO,2023,PRIVADO
EMPRESA 9,39,83,"46,99%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 9,39,81,"48,15%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 9,27,86,"31,40%",01/03/24,MARÇO,2024,PRIVADO
EMPRESA 9,20,89,"22,47%",01/02/24,FEVEREIRO,2024,PRIVADO
EMPRESA 9,52,94,"55,32%",01/01/24,JANEIRO,2024,PRIVADO
EMPRESA 9,45,91,"49,45%",01/12/23,DEZEMBRO,2023,PRIVADO
EMPRESA 9,40,97,"41,24%",01/11/23,NOVEMBRO,2023,PRIVADO
EMPRESA 9,44,96,"45,83%",01/10/23,OUTUBRO,2023,PRIVADO
EMPRESA 9,85,80,"106,25%",01/09/23,SETEMBRO,2023,PRIVADO
EMPRESA 9,16,78,"20,51%",01/08/23,AGOSTO,2023,PRIVADO
EMPRESA 10,9,28,"32,14%",01/05/24,MAIO,2024,PRIVADO
EMPRESA 10,5,27,"18,52%",01/04/24,ABRIL,2024,PRIVADO
EMPRESA 10,3,27,"11,11%",01/03/24,MARÇO,2024,PRIVADO
